relative_time,ph_7.6,ph_7.6,ph_8.2,ph_7.6,ph_8.2,ph_8.2,
1463397.073,8.194119873,7.65213501,7.863234863,7.478093262,6.734329834,8.030340576,
1463457.073,8.196256104,7.649998779,7.864302979,7.481297607,6.740738525,8.031408691,
1463517.073,8.196256104,7.648930664,7.865371094,7.482365723,6.741806641,8.032476807,
1463577.073,8.196256104,7.651066895,7.865371094,7.483433838,6.748215332,8.033544922,
1463637.073,8.197324219,7.65213501,7.866439209,7.487706299,6.743942871,8.034613037,
1463697.073,8.197324219,7.65427124,7.867507324,7.487706299,6.738602295,8.035681152,
1463757.072,8.197324219,7.660679932,7.867507324,7.488774414,6.73967041,8.036749268,
1463817.072,8.197324219,7.666020508,7.868575439,7.490910645,6.738602295,8.036749268,
1463877.072,8.197324219,7.668156738,7.869643555,7.493046875,6.742874756,8.036749268,
1463937.072,8.196256104,7.670292969,7.87071167,7.49411499,6.742874756,8.038885498,
1463997.072,8.196256104,7.671361084,7.87071167,7.496251221,6.743942871,8.038885498,
1464057.072,8.196256104,7.672429199,7.871779785,7.497319336,6.747147217,8.038885498,
1464117.072,8.196256104,7.638249512,7.8728479,7.498387451,6.740738525,8.038885498,
1464177.072,8.197324219,7.628636475,7.873916016,7.500523682,6.73967041,8.038885498,
1464237.072,8.197324219,7.616887207,7.873916016,7.502659912,6.742874756,8.039953613,
1464297.071,8.197324219,7.601933594,7.874984131,7.502659912,6.741806641,8.039953613,
1464357.071,8.197324219,7.588048096,7.876052246,7.502659912,6.741806641,8.041021729,
1464417.071,8.197324219,7.603001709,7.877120361,7.504796143,6.746079102,8.041021729,
1464477.071,8.197324219,7.590184326,7.878188477,7.505864258,6.748215332,8.041021729,
1464537.071,8.197324219,7.580571289,7.879256592,7.509068604,6.747147217,8.042089844,
